Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DataLoader/DataLoader.csproj,File,DataLoader/DataLoader.csproj,,,Newtonsoft.Json 9.0.1,,,,,"Newtonsoft.Json, 9.0.1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,DataLoader/DataLoader.csproj,File,DataLoader/DataLoader.csproj,,,Newtonsoft.Json 9.0.1,,,,,"Newtonsoft.Json, 9.0.1  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,DataLoader/DataLoader.csproj,File,DataLoader/DataLoader.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DataLoader/DataLoader.csproj,File,DataLoader/DataLoader.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.5 Recommended target framework: net10.0"
Binding.0004,AutoGenerateBindingRedirects not set and no manual redirects,Active,Potential,1,DataLoader/DataLoader.csproj,File,DataLoader/DataLoader.csproj,,,,,,,,"AutoGenerateBindingRedirects is not set in DataLoader.csproj, no manual redirects found"
